ticker,ftcode
SWJ,28544970
SRY,82305786
STA,143009
SXA,55971645
SOR,34830437
SER,95063
SMC,255695
SGO,54273
STX,261884
SRK,112844
SMN,256024
SGU,3494641
SUD,98538
SUM,21391573
SNZ,59528586
SMM,255972
SUR,262522
SBB,69667279
SUN,262335
SEA,1692865
SDL,250258
SDG,250180
STM,6891147
SVS,263046
SUL,262270
SUP,22106107
SPQ,8707206
SLC,274040204
SNL,256840
SRN,135881
SRF,82149400
SWK,5767969
SW1,84508
SYD,196520
SL1,56127406
SMD,9390156
SOP,57684885
SYS,212104
SM1,372477979
SYT,7402562
SYR,8242255
TAH,264909
TAG,264877
TLG,24497838
TLM,3416620
TPD,54610058
TMK,12274066
